Sample_ID,dataset,coding,backend,steps,hidden,delta,sample 14628,sample 48598,sample 16049,sample 7296,sample 35741,sample 41905,sample 48540,sample 6717,sample 58469,sample 48265,sample 44348,sample 18024,sample 1639,sample 9144,rob. 14628,rob. 48598,rob. 16049,rob. 7296,rob. 35741,rob. 41905,rob. 48540,rob. 6717,rob. 58469,rob. 48265,rob. 44348,rob. 18024,rob. 1639,rob. 9144
10031859,mnist,latency,milp,5,20,"delta(1,)",1.6592185497284,1.4220614433289,1.0694599151611,1.3666713237762,1.1644175052643,1.183641910553,1.3019955158234,1.8352105617523,1.9297027587891,1.1042692661285,1.9907417297363,1.04802942276,1.3618092536926,2.5702874660492,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08101434,fmnist,baseline,z3,5,16,"delta(1,)",inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
08062011,mnist,latency,np,5,10,"delta(2,)",0.14497971534729004,62.40949320793152,59.06539034843445,61.912970304489136,0.0647420883178711,58.81716585159302,64.69295573234558,63.30988144874573,63.26714539527893,63.343690395355225,0.045896053314208984,22.44591188430786,62.10114145278931,65.86033511161804,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Robust
08101434,fmnist,baseline,z3,5,14,"delta(1,)",155898.501704216,155898.03987026215,155898.22235250473,155897.34283733368,155897.66295719147,155898.5564713478,155898.74228096008,143387.6068291664,155899.61094856262,155898.66368675232,78899.74777579308,53312.71670913696,155898.35092687607,155898.8019528389,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not robust,Unknown,Unknown,Not robust,Not robust,Unknown,Unknown
08121048,fmnist,latency,np,5,16,"delta(1,)",0.18071341514587402,0.0011334419250488281,0.0012276172637939453,0.16811609268188477,0.021901369094848633,0.0012989044189453125,0.15842103958129883,0.001026153564453125,0.18642640113830566,0.0002987384796142578,0.00030112266540527344,0.21350646018981934,0.1646406650543213,0.04864978790283203,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
09021836,mnist,latency,milp,5,18,"delta(2,)",6.7996702194214,91.803234577179,3.7614049911499,1.6741859912872,1.9971332550049,2.0974209308624,31.6698944568634,1.7742938995361,27.5674712657928,4.0061702728271,48.1259217262268,1.7132053375244,1.6458284854889,13.3607883453369,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
06112138,mnist,latency,z3,7,20,"delta(1,)",85500.81674098969,154175.55861997604,3382.829911708832,2257.905080795288,82754.58339953423,125497.3926475048,101916.49704480171,2320.530957221985,97934.17921185493,1556.2013895511627,99398.52333259583,1280.5411584377289,103566.9389936924,109012.86845397949,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08101743,fmnist,latency,z3,5,18,"delta(1,)",6665.932472229004,13885.889690637589,4063.0337285995483,20446.002481222153,4582.599516153336,4418.849822759628,1530.8855803012848,12057.573659420013,11371.364549398422,17235.624932527542,16368.625868082047,9496.999463558197,1709.910888671875,14145.846279382706,Not robust,Not robust,Robust,Robust,Not robust,Not robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
08102020,fmnist,latency,z3,5,14,"delta(1,)",951.0936064720154,4342.322612524033,1402.889286994934,1198.45862865448,2096.317800283432,3263.7273709774017,3472.3133029937744,814.2367327213287,2001.2491838932037,635.3500123023987,1055.2314803600311,2830.7780158519745,951.8843703269958,779.9006798267365,Not robust,Not robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
09021924,mnist,latency,milp,5,18,"delta(3,)",176.2528812885284,1367.569729566574,8.7225384712219,7.2734975814819,13.8224518299103,11.9494082927704,3864.2737267017365,4.507963180542,2177.2374856472015,1294.5804920196533,15573.08195924759,2.6139152050018,8.3828999996185,118.0810475349426,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08062233,mnist,baseline,z3,5,10,"delta(2,)",11120.08134508133,10501.023930311203,88886.11268091202,8807.286089897156,48448.57055640221,15386.71511054039,12406.208112955093,317268.8529539108,52923.626405239105,317268.9353861809,317267.32434272766,15094.465673208237,61458.83651351929,15674.61508011818,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Unknown,Not robust,Unknown,Unknown,Not robust,Not robust,Not robust
08151404,fmnist,latency,z3,6,20,"delta(1,)",20074.595274686813,32890.01021718979,47932.52471256256,40646.67355108261,45768.601823329926,41757.79878568649,inf,33164.73327422142,79415.37621855736,56856.551163196564,52006.993883132935,60298.48691892624,43382.575367450714,42378.6149687767,Robust,Not robust,Robust,Robust,Not robust,Robust,Unknown,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust
08121047,fmnist,latency,np,5,10,"delta(1,)",0.0010156631469726562,0.001203775405883789,0.0009822845458984375,0.16927075386047363,0.0002968311309814453,0.0012111663818359375,0.00030517578125,0.0003027915954589844,0.017997264862060547,0.00030040740966796875,0.21590280532836914,0.0010380744934082031,0.16814327239990234,0.022756338119506836,Not robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust
09011524,mnist,latency,milp,5,16,"delta(1,)",0.9801561832428,1.0089979171753,0.8064465522766,0.9310829639435,1.4177041053772,1.0389719009399,0.9868655204773,1.3843104839325,0.887894153595,1.2845830917358,1.2507772445679,1.0658195018768,0.893883228302,1.737576007843,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust
08062246,mnist,baseline,np,5,10,"delta(2,)",0.05676627159118652,10980.224207639694,0.0507044792175293,0.049616336822509766,0.05381417274475098,0.05057406425476074,0.05566835403442383,0.053432464599609375,0.053824424743652344,0.05087542533874512,0.051049232482910156,0.05858159065246582,0.05857133865356445,11090.91235089302,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust
08141325,mnist,latency,np,256,128,"delta(2,)",527.2116885185242,558.6110408306122,412.01195764541626,0.02280402183532715,588.2616729736328,557.8467829227448,668.9298446178436,485.14613127708435,971.4626770019531,677.0363051891327,571.80615067482,0.020518779754638672,1.4097650051116943,663.6988575458527,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust
08121116,fmnist,latency,np,6,20,"delta(1,)",0.23105573654174805,0.001306772232055664,0.18978166580200195,0.1790473461151123,0.02454829216003418,0.2156693935394287,0.16986322402954102,0.021973371505737305,0.19955039024353027,0.1816418170928955,0.0013892650604248047,0.22799921035766602,0.17642951011657715,0.20865869522094727,Robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust
